iter	Passed	Remaining
457	820	970
458	822	969
459	823	966
460	825	964
461	826	962
462	827	959
463	828	957
464	829	954
465	831	952
466	832	949
467	833	947
468	834	944
469	835	942
470	838	941
471	839	939
472	840	936
473	842	934
474	843	931
475	844	929
476	845	926
477	846	924
478	847	922
479	848	919
480	849	917
481	853	916
482	854	914
483	856	912
484	857	910
485	858	907
486	859	905
487	860	902
488	861	900
489	863	898
490	864	895
491	865	893
492	870	895
493	872	893
494	874	891
495	875	889
496	877	887
497	878	885
498	880	883
499	884	884
500	885	882
501	887	880
502	888	878
503	890	876
504	891	874
505	893	872
506	894	870
507	896	867
508	899	867
509	901	865
510	902	863
511	904	861
512	905	859
513	907	857
514	908	855
515	909	853
516	911	851
517	914	850
518	915	848
519	917	846
520	918	844
521	919	841
522	920	839
523	921	837
524	922	835
525	924	832
526	925	830
527	929	830
528	930	828
529	932	826
530	933	824
531	937	824
532	940	823
533	941	821
534	945	821
535	946	819
536	947	817
537	949	815
538	950	813
539	951	810
540	953	808
541	954	806
542	955	804
543	956	801
544	959	801
545	961	799
546	962	797
547	964	795
548	966	793
549	967	791
550	968	789
551	969	786
552	970	784
553	972	782
554	975	781
555	976	779
556	977	777
557	978	775
558	979	773
559	981	770
560	982	768
561	983	766
562	984	764
563	985	761
564	986	759
565	989	758
566	990	756
567	991	754
568	993	752
569	994	750
570	995	747
571	996	745
572	997	743
573	999	741
574	1000	739
575	1001	737
576	1004	736
577	1005	734
578	1006	731
579	1007	729
580	1009	727
581	1010	725
582	1011	723
583	1012	721
584	1013	719
585	1015	717
586	1016	714
587	1017	712
588	1018	710
589	1020	709
590	1021	707
591	1023	705
592	1025	703
593	1026	701
594	1027	699
595	1028	697
596	1030	695
597	1032	694
598	1034	692
599	1035	690
600	1037	688
601	1038	686
602	1039	684
603	1040	681
604	1041	679
605	1042	677
606	1043	675
607	1044	673
608	1045	670
609	1049	670
610	1051	669
611	1052	667
612	1054	665
613	1056	663
614	1058	662
615	1059	660
616	1060	658
617	1063	657
618	1064	655
619	1066	653
620	1067	651
621	1068	649
622	1069	647
623	1071	645
624	1072	643
625	1073	641
626	1074	639
627	1075	637
628	1078	636
629	1079	634
630	1080	632
631	1082	630
632	1083	628
633	1084	626
634	1085	624
635	1086	622
636	1088	620
637	1089	618
638	1092	617
639	1094	615
640	1095	613
641	1096	611
642	1097	609
643	1099	607
644	1100	605
645	1101	603
646	1102	601
647	1103	599
648	1105	597
649	1106	595
650	1108	594
651	1110	592
652	1112	591
653	1116	590
654	1117	588
655	1118	586
656	1119	584
657	1120	582
658	1121	580
659	1124	579
660	1125	577
661	1126	575
662	1127	573
663	1129	571
664	1130	569
665	1131	567
666	1132	565
667	1133	563
668	1135	561
669	1136	559
670	1139	558
671	1140	556
672	1142	554
673	1143	553
674	1144	551
675	1145	549
676	1146	547
677	1148	545
678	1149	543
679	1150	541
680	1153	540
681	1155	538
682	1156	536
683	1158	535
684	1160	533
685	1161	531
686	1162	529
687	1163	527
688	1164	525
689	1166	523
690	1168	522
691	1169	520
692	1170	518
693	1172	516
694	1173	515
695	1174	513
696	1176	511
697	1177	509
698	1178	507
699	1179	505
700	1180	503
701	1183	502
702	1184	500
703	1185	498
704	1188	497
705	1190	495
706	1191	493
707	1193	492
708	1194	490
709	1195	488
710	1197	486
711	1198	484
712	1199	482
713	1202	481
714	1203	479
715	1204	477
716	1205	475
717	1207	474
718	1208	472
719	1209	470
720	1210	468
721	1212	466
722	1213	464
723	1214	462
724	1215	461
725	1216	459
726	1218	457
727	1219	455
728	1220	453
729	1221	451
730	1223	450
731	1224	448
732	1225	446
733	1226	444
734	1227	442
735	1228	440
736	1231	439
737	1233	437
738	1235	436
739	1237	434
740	1239	433
741	1241	431
742	1244	430
743	1246	428
744	1247	426
745	1248	425
746	1249	423
747	1251	421
748	1252	419
749	1254	418
750	1255	416
751	1256	414
752	1258	412
753	1259	410
754	1260	409
755	1261	407
756	1262	405
757	1264	403
758	1265	401
759	1266	399
760	1267	398
761	1268	396
762	1269	394
763	1271	392
764	1274	391
765	1276	389
766	1277	388
767	1280	386
768	1281	385
769	1282	383
770	1283	381
771	1285	379
772	1286	377
773	1289	376
774	1290	374
775	1291	372
776	1292	370
777	1293	369
778	1295	367
779	1296	365
780	1297	363
781	1298	362
782	1299	360
783	1300	358
784	1303	357
785	1304	355
786	1305	353
787	1306	351
788	1308	349
789	1309	348
790	1310	346
791	1311	344
792	1313	342
793	1314	340
794	1315	339
795	1316	337
796	1319	336
797	1320	334
798	1322	332
799	1323	330
800	1325	329
801	1326	327
802	1327	325
803	1329	324
804	1330	322
805	1333	321
806	1335	319
807	1336	317
808	1338	315
809	1339	314
810	1341	312
811	1342	310
812	1343	309
813	1345	307
814	1346	305
815	1350	304
816	1351	302
817	1353	301
818	1355	299
819	1356	297
820	1358	296
821	1360	294
822	1361	292
823	1364	291
824	1365	289
825	1366	287
826	1368	286
827	1369	284
828	1370	282
829	1371	280
830	1372	279
831	1374	277
832	1375	275
833	1376	273
834	1379	272
835	1380	270
836	1382	269
837	1383	267
838	1385	265
839	1386	264
840	1387	262
841	1389	260
842	1390	258
843	1391	257
844	1394	255
845	1395	254
846	1396	252
847	1397	250
848	1399	248
849	1400	247
850	1401	245
851	1402	243
852	1403	241
853	1405	240
854	1406	238
855	1409	237
856	1410	235
857	1411	233
858	1412	231
859	1414	230
860	1415	228
861	1416	226
862	1417	225
863	1418	223
864	1419	221
865	1421	219
866	1423	218
867	1424	216
868	1425	214
869	1427	213
870	1429	211
871	1430	210
872	1432	208
873	1435	206
874	1438	205
875	1440	203
876	1441	202
877	1442	200
878	1443	198
879	1444	197
880	1446	195
881	1447	193
882	1448	191
883	1449	190
884	1450	188
885	1453	187
886	1455	185
887	1456	183
888	1457	181
889	1458	180
890	1460	178
891	1461	176
892	1462	175
893	1463	173
894	1464	171
895	1466	170
896	1469	168
897	1470	167
898	1472	165
899	1473	163
900	1474	162
901	1476	160
902	1477	158
903	1478	157
904	1479	155
905	1480	153
906	1481	151
907	1482	150
908	1483	148
909	1485	146
910	1486	145
911	1487	143
912	1488	141
913	1489	140
914	1490	138
915	1491	136
916	1492	135
917	1493	133
918	1495	131
919	1497	130
920	1499	128
921	1500	126
922	1501	125
923	1502	123
924	1503	121
925	1505	120
926	1506	118
927	1507	116
928	1508	115
929	1509	113
930	1512	112
931	1513	110
932	1515	108
933	1516	107
934	1517	105
935	1518	103
936	1520	102
937	1521	100
938	1522	98
939	1523	97
940	1524	95
941	1527	94
942	1529	92
943	1530	90
944	1531	89
945	1532	87
946	1533	85
947	1535	84
948	1536	82
949	1537	80
950	1538	79
951	1539	77
952	1542	76
953	1544	74
954	1545	72
955	1546	71
956	1547	69
957	1549	67
958	1550	66
959	1551	64
960	1552	63
961	1553	61
962	1554	59
963	1557	58
964	1559	56
965	1560	54
966	1562	53
967	1564	51
968	1565	50
969	1566	48
970	1567	46
971	1568	45
972	1570	43
973	1572	41
974	1574	40
975	1575	38
976	1576	37
977	1577	35
978	1578	33
979	1580	32
980	1581	30
981	1582	29
982	1583	27
983	1584	25
984	1586	24
985	1588	22
986	1589	20
987	1590	19
988	1592	17
989	1593	16
990	1594	14
991	1595	12
992	1596	11
993	1597	9
994	1598	8
995	1600	6
996	1602	4
997	1603	3
998	1605	1
999	1608	0
